Airline,Departure,Destination,Departure_date,Arrival_date,Ticket_Price(Dollars),Stops,Travel_Time
Korean Air,KTM,JFK,2023-10-02,2023-10-05,1035,3,23
China Southern,KTM,JFK,2023-10-02,2023-10-02,1643,3,31
China Southern,KTM,JFK,2023-10-02,2023-10-03,2173,1,41
Etihad,KTM,JFK,2023-10-02,2023-10-02,1820,3,35
Qatar Airways,KTM,JFK,2023-10-02,2023-10-03,1024,1,32
Etihad,KTM,JFK,2023-10-02,2023-10-04,1664,1,32
Emirates,KTM,JFK,2023-10-02,2023-10-02,1008,1,36
Qatar Airways,KTM,JFK,2023-10-02,2023-10-02,704,1,22
Turkish Airlines,KTM,JFK,2023-10-02,2023-10-05,1770,2,30
China Southern,KTM,JFK,2023-10-02,2023-10-05,2332,2,44
China Southern,KTM,JFK,2023-10-02,2023-10-02,1378,1,26
Emirates,KTM,JFK,2023-10-02,2023-10-02,840,2,30
Emirates,KTM,JFK,2023-10-02,2023-10-05,644,3,23
Emirates,KTM,JFK,2023-10-02,2023-10-02,728,3,26
Korean Air,KTM,JFK,2023-10-02,2023-10-05,945,2,21
Qatar Airways,KTM,JFK,2023-10-02,2023-10-04,928,3,29
Korean Air,KTM,JFK,2023-10-02,2023-10-02,2025,3,45
China Southern,KTM,JFK,2023-10-02,2023-10-04,1113,2,21
Qatar Airways,KTM,JFK,2023-10-02,2023-10-05,1024,3,32
Korean Air,KTM,JFK,2023-10-02,2023-10-02,1215,1,27
Etihad,KTM,JFK,2023-10-04,2023-10-05,1612,2,31
Korean Air,KTM,JFK,2023-10-04,2023-10-07,1125,2,25
Turkish Airlines,KTM,JFK,2023-10-04,2023-10-06,2478,2,42
Emirates,KTM,JFK,2023-10-04,2023-10-06,672,3,24
Qatar Airways,KTM,JFK,2023-10-04,2023-10-07,640,3,20
China Southern,KTM,JFK,2023-10-04,2023-10-06,1272,3,24
Korean Air,KTM,JFK,2023-10-04,2023-10-05,1890,2,42
Korean Air,KTM,JFK,2023-10-04,2023-10-05,1440,3,32
Korean Air,KTM,JFK,2023-10-04,2023-10-05,1980,2,44
Emirates,KTM,JFK,2023-10-04,2023-10-07,616,2,22
Emirates,KTM,JFK,2023-10-04,2023-10-05,1008,3,36
Emirates,KTM,JFK,2023-10-04,2023-10-06,560,2,20
Qatar Airways,KTM,JFK,2023-10-04,2023-10-06,1376,1,43
Turkish Airlines,KTM,JFK,2023-10-04,2023-10-07,2360,1,40
Korean Air,KTM,JFK,2023-10-04,2023-10-06,1755,1,39
Qatar Airways,KTM,JFK,2023-10-04,2023-10-07,1248,1,39
Etihad,KTM,JFK,2023-10-04,2023-10-07,1872,2,36
Etihad,KTM,JFK,2023-10-05,2023-10-06,1404,3,27
Turkish Airlines,KTM,JFK,2023-10-05,2023-10-05,2183,1,37
Turkish Airlines,KTM,JFK,2023-10-05,2023-10-06,1711,2,29
Qatar Airways,KTM,JFK,2023-10-05,2023-10-07,832,3,26
Qatar Airways,KTM,JFK,2023-10-05,2023-10-06,1280,1,40
Emirates,KTM,JFK,2023-10-05,2023-10-07,560,3,20
Korean Air,KTM,JFK,2023-10-05,2023-10-06,1350,3,30
China Southern,KTM,JFK,2023-10-05,2023-10-06,1484,3,28
Korean Air,KTM,JFK,2023-10-05,2023-10-07,1485,1,33
Emirates,KTM,JFK,2023-10-05,2023-10-08,1036,1,37
Emirates,KTM,JFK,2023-10-05,2023-10-05,868,2,31
Qatar Airways,KTM,JFK,2023-10-05,2023-10-08,928,2,29
Qatar Airways,KTM,JFK,2023-10-05,2023-10-08,1216,3,38
Korean Air,KTM,JFK,2023-10-05,2023-10-08,1710,2,38
Etihad,KTM,JFK,2023-10-05,2023-10-07,1560,3,30
Qatar Airways,KTM,JFK,2023-10-05,2023-10-07,704,1,22
China Southern,KTM,JFK,2023-10-05,2023-10-06,1536,3,48
Cathay Pacific,KTM,JFK,2023-10-05,2023-10-05,2312,2,34
Turkish Airlines,KTM,JFK,2023-10-05,2023-10-07,1593,1,27
China Southern,KTM,JFK,2023-10-05,2023-10-08,832,1,26
Korean Air,KTM,JFK,2023-10-05,2023-10-07,990,2,22
China Southern,KTM,JFK,2023-10-05,2023-10-07,1537,2,29
Qatar Airways,KTM,JFK,2023-10-05,2023-10-05,1344,2,42
China Southern,KTM,JFK,2023-10-05,2023-10-06,960,2,30
China Southern,KTM,JFK,2023-10-05,2023-10-06,1216,3,38
Emirates,KTM,JFK,2023-10-05,2023-10-05,1204,2,43
Korean Air,KTM,JFK,2023-10-05,2023-10-06,1305,2,29
Qatar Airways,KTM,JFK,2023-10-05,2023-10-08,1408,1,44
Etihad,KTM,JFK,2023-10-05,2023-10-07,1404,3,27
Etihad,KTM,JFK,2023-10-05,2023-10-06,1144,3,22
Cathay Pacific,KTM,JFK,2023-10-05,2023-10-06,1428,2,21
Emirates,KTM,JFK,2023-10-05,2023-10-08,1148,3,41
Emirates,KTM,JFK,2023-10-05,2023-10-05,980,1,35
Qatar Airways,KTM,JFK,2023-10-05,2023-10-08,640,2,20
Qatar Airways,KTM,JFK,2023-10-05,2023-10-08,800,2,25
Turkish Airlines,KTM,JFK,2023-10-05,2023-10-05,1298,3,22
Korean Air,KTM,JFK,2023-10-05,2023-10-07,1845,2,41
Qatar Airways,KTM,JFK,2023-10-05,2023-10-07,704,1,22
China Southern,KTM,JFK,2023-10-05,2023-10-07,864,1,27
Qatar Airways,KTM,JFK,2023-10-06,2023-10-07,1428,2,42
Etihad,KTM,JFK,2023-10-06,2023-10-08,1664,1,32
Turkish Airlines,KTM,JFK,2023-10-06,2023-10-07,2537,1,43
China Southern,KTM,JFK,2023-10-06,2023-10-09,2544,2,48
Etihad,KTM,JFK,2023-10-06,2023-10-07,1716,1,33
Turkish Airlines,KTM,JFK,2023-10-06,2023-10-09,1534,3,26
Korean Air,KTM,JFK,2023-10-06,2023-10-08,1935,3,43
Emirates,KTM,JFK,2023-10-06,2023-10-09,1020,1,34
Etihad,KTM,JFK,2023-10-06,2023-10-06,2392,3,46
China Southern,KTM,JFK,2023-10-06,2023-10-06,960,1,30
Etihad,KTM,JFK,2023-10-06,2023-10-07,2444,1,47
Turkish Airlines,KTM,JFK,2023-10-06,2023-10-06,1652,1,28
Turkish Airlines,KTM,JFK,2023-10-06,2023-10-07,1298,1,22
Korean Air,KTM,JFK,2023-10-06,2023-10-08,1215,3,27
Qatar Airways,KTM,JFK,2023-10-06,2023-10-06,1360,1,40
Emirates,KTM,JFK,2023-10-06,2023-10-06,810,1,27
China Southern,KTM,JFK,2023-10-06,2023-10-09,1431,1,27
Cathay Pacific,KTM,JFK,2023-10-06,2023-10-06,3400,2,50
China Southern,KTM,JFK,2023-10-06,2023-10-06,640,1,20
Qatar Airways,KTM,JFK,2023-10-06,2023-10-08,680,1,20
Korean Air,KTM,JFK,2023-10-06,2023-10-06,2250,1,50
Cathay Pacific,KTM,JFK,2023-10-06,2023-10-09,2788,2,41
Korean Air,KTM,JFK,2023-10-06,2023-10-06,1575,1,35
Emirates,KTM,JFK,2023-10-06,2023-10-07,1170,2,39
Qatar Airways,KTM,JFK,2023-10-06,2023-10-06,816,2,24
China Southern,KTM,JFK,2023-10-06,2023-10-07,1504,3,47
Korean Air,KTM,JFK,2023-10-06,2023-10-07,1890,1,42
Turkish Airlines,KTM,JFK,2023-10-06,2023-10-08,1357,3,23
Cathay Pacific,KTM,JFK,2023-10-06,2023-10-06,3196,1,47
Emirates,KTM,JFK,2023-10-06,2023-10-07,690,2,23
Emirates,KTM,JFK,2023-10-06,2023-10-07,930,2,31
Qatar Airways,KTM,JFK,2023-10-06,2023-10-07,1224,1,36
China Southern,KTM,JFK,2023-10-06,2023-10-09,1312,2,41
China Southern,KTM,JFK,2023-10-06,2023-10-08,1166,2,22
Cathay Pacific,KTM,JFK,2023-10-06,2023-10-08,1700,3,25
Qatar Airways,KTM,JFK,2023-10-09,2023-10-11,1470,3,49
Etihad,KTM,JFK,2023-10-09,2023-10-10,1862,2,38
Turkish Airlines,KTM,JFK,2023-10-09,2023-10-11,1925,1,35
China Southern,KTM,JFK,2023-10-09,2023-10-10,2400,1,50
Etihad,KTM,JFK,2023-10-09,2023-10-10,1617,1,33
Turkish Airlines,KTM,JFK,2023-10-09,2023-10-11,1320,1,24
Korean Air,KTM,JFK,2023-10-09,2023-10-09,1617,3,33
Emirates,KTM,JFK,2023-10-09,2023-10-11,1323,3,49
Etihad,KTM,JFK,2023-10-09,2023-10-10,2205,2,45
China Southern,KTM,JFK,2023-10-09,2023-10-11,567,2,21
Etihad,KTM,JFK,2023-10-09,2023-10-09,1764,2,36
Turkish Airlines,KTM,JFK,2023-10-09,2023-10-11,1485,3,27
Turkish Airlines,KTM,JFK,2023-10-09,2023-10-09,1155,2,21
Korean Air,KTM,JFK,2023-10-09,2023-10-10,1862,2,38
Qatar Airways,KTM,JFK,2023-10-09,2023-10-09,1500,1,50
Emirates,KTM,JFK,2023-10-09,2023-10-09,756,3,28
China Southern,KTM,JFK,2023-10-09,2023-10-09,1968,2,41
Cathay Pacific,KTM,JFK,2023-10-09,2023-10-11,2795,1,43
China Southern,KTM,JFK,2023-10-09,2023-10-12,1053,3,39
Qatar Airways,KTM,JFK,2023-10-09,2023-10-12,1020,1,34
Korean Air,KTM,JFK,2023-10-09,2023-10-10,1519,1,31
Cathay Pacific,KTM,JFK,2023-10-09,2023-10-10,2275,2,35
Korean Air,KTM,JFK,2023-10-09,2023-10-11,1911,3,39
Emirates,KTM,JFK,2023-10-09,2023-10-10,1215,1,45
Qatar Airways,KTM,JFK,2023-10-09,2023-10-10,870,1,29
China Southern,KTM,JFK,2023-10-09,2023-10-09,1026,1,38
Korean Air,KTM,JFK,2023-10-09,2023-10-10,1078,2,22
Turkish Airlines,KTM,JFK,2023-10-09,2023-10-12,2750,2,50
Cathay Pacific,KTM,JFK,2023-10-09,2023-10-10,3055,2,47
Emirates,KTM,JFK,2023-10-09,2023-10-12,756,3,28
