,Airline,Departure,Destination,Departure_date,Arrival_date,Ticket_Price(Dollars),Stops,Travel_Time,seasons,Day_of_the_week
0,Korean Air,KTM,JFK,2023-10-02,2023-10-05,1035,3,23,Autumn,Monday
1,China Southern,KTM,JFK,2023-10-02,2023-10-02,1643,3,31,Autumn,Monday
2,China Southern,KTM,JFK,2023-10-02,2023-10-03,2173,1,41,Autumn,Monday
3,Etihad,KTM,JFK,2023-10-02,2023-10-02,1820,3,35,Autumn,Monday
4,Qatar Airways,KTM,JFK,2023-10-02,2023-10-03,1024,1,32,Autumn,Monday
5,Etihad,KTM,JFK,2023-10-02,2023-10-04,1664,1,32,Autumn,Monday
6,Emirates,KTM,JFK,2023-10-02,2023-10-02,1008,1,36,Autumn,Monday
7,Qatar Airways,KTM,JFK,2023-10-02,2023-10-02,704,1,22,Autumn,Monday
8,Turkish Airlines,KTM,JFK,2023-10-02,2023-10-05,1770,2,30,Autumn,Monday
9,China Southern,KTM,JFK,2023-10-02,2023-10-05,2332,2,44,Autumn,Monday
10,China Southern,KTM,JFK,2023-10-02,2023-10-02,1378,1,26,Autumn,Monday
11,Emirates,KTM,JFK,2023-10-02,2023-10-02,840,2,30,Autumn,Monday
12,Emirates,KTM,JFK,2023-10-02,2023-10-05,644,3,23,Autumn,Monday
13,Emirates,KTM,JFK,2023-10-02,2023-10-02,728,3,26,Autumn,Monday
14,Korean Air,KTM,JFK,2023-10-02,2023-10-05,945,2,21,Autumn,Monday
15,Qatar Airways,KTM,JFK,2023-10-02,2023-10-04,928,3,29,Autumn,Monday
16,Korean Air,KTM,JFK,2023-10-02,2023-10-02,2025,3,45,Autumn,Monday
17,China Southern,KTM,JFK,2023-10-02,2023-10-04,1113,2,21,Autumn,Monday
18,Qatar Airways,KTM,JFK,2023-10-02,2023-10-05,1024,3,32,Autumn,Monday
19,Korean Air,KTM,JFK,2023-10-02,2023-10-02,1215,1,27,Autumn,Monday
20,Etihad,KTM,JFK,2023-10-04,2023-10-05,1612,2,31,Autumn,Wednesday
21,Korean Air,KTM,JFK,2023-10-04,2023-10-07,1125,2,25,Autumn,Wednesday
22,Turkish Airlines,KTM,JFK,2023-10-04,2023-10-06,2478,2,42,Autumn,Wednesday
23,Emirates,KTM,JFK,2023-10-04,2023-10-06,672,3,24,Autumn,Wednesday
24,Qatar Airways,KTM,JFK,2023-10-04,2023-10-07,640,3,20,Autumn,Wednesday
25,China Southern,KTM,JFK,2023-10-04,2023-10-06,1272,3,24,Autumn,Wednesday
26,Korean Air,KTM,JFK,2023-10-04,2023-10-05,1890,2,42,Autumn,Wednesday
27,Korean Air,KTM,JFK,2023-10-04,2023-10-05,1440,3,32,Autumn,Wednesday
28,Korean Air,KTM,JFK,2023-10-04,2023-10-05,1980,2,44,Autumn,Wednesday
29,Emirates,KTM,JFK,2023-10-04,2023-10-07,616,2,22,Autumn,Wednesday
30,Emirates,KTM,JFK,2023-10-04,2023-10-05,1008,3,36,Autumn,Wednesday
31,Emirates,KTM,JFK,2023-10-04,2023-10-06,560,2,20,Autumn,Wednesday
32,Qatar Airways,KTM,JFK,2023-10-04,2023-10-06,1376,1,43,Autumn,Wednesday
33,Turkish Airlines,KTM,JFK,2023-10-04,2023-10-07,2360,1,40,Autumn,Wednesday
34,Korean Air,KTM,JFK,2023-10-04,2023-10-06,1755,1,39,Autumn,Wednesday
35,Qatar Airways,KTM,JFK,2023-10-04,2023-10-07,1248,1,39,Autumn,Wednesday
36,Etihad,KTM,JFK,2023-10-04,2023-10-07,1872,2,36,Autumn,Wednesday
37,Etihad,KTM,JFK,2023-10-05,2023-10-06,1404,3,27,Autumn,Thursday
38,Turkish Airlines,KTM,JFK,2023-10-05,2023-10-05,2183,1,37,Autumn,Thursday
39,Turkish Airlines,KTM,JFK,2023-10-05,2023-10-06,1711,2,29,Autumn,Thursday
40,Qatar Airways,KTM,JFK,2023-10-05,2023-10-07,832,3,26,Autumn,Thursday
41,Qatar Airways,KTM,JFK,2023-10-05,2023-10-06,1280,1,40,Autumn,Thursday
42,Emirates,KTM,JFK,2023-10-05,2023-10-07,560,3,20,Autumn,Thursday
43,Korean Air,KTM,JFK,2023-10-05,2023-10-06,1350,3,30,Autumn,Thursday
44,China Southern,KTM,JFK,2023-10-05,2023-10-06,1484,3,28,Autumn,Thursday
45,Korean Air,KTM,JFK,2023-10-05,2023-10-07,1485,1,33,Autumn,Thursday
46,Emirates,KTM,JFK,2023-10-05,2023-10-08,1036,1,37,Autumn,Thursday
47,Emirates,KTM,JFK,2023-10-05,2023-10-05,868,2,31,Autumn,Thursday
48,Qatar Airways,KTM,JFK,2023-10-05,2023-10-08,928,2,29,Autumn,Thursday
49,Qatar Airways,KTM,JFK,2023-10-05,2023-10-08,1216,3,38,Autumn,Thursday
50,Korean Air,KTM,JFK,2023-10-05,2023-10-08,1710,2,38,Autumn,Thursday
51,Etihad,KTM,JFK,2023-10-05,2023-10-07,1560,3,30,Autumn,Thursday
52,Qatar Airways,KTM,JFK,2023-10-05,2023-10-07,704,1,22,Autumn,Thursday
53,China Southern,KTM,JFK,2023-10-05,2023-10-06,1536,3,48,Autumn,Thursday
54,Cathay Pacific,KTM,JFK,2023-10-05,2023-10-05,2312,2,34,Autumn,Thursday
55,Turkish Airlines,KTM,JFK,2023-10-05,2023-10-07,1593,1,27,Autumn,Thursday
56,China Southern,KTM,JFK,2023-10-05,2023-10-08,832,1,26,Autumn,Thursday
57,Korean Air,KTM,JFK,2023-10-05,2023-10-07,990,2,22,Autumn,Thursday
58,China Southern,KTM,JFK,2023-10-05,2023-10-07,1537,2,29,Autumn,Thursday
59,Qatar Airways,KTM,JFK,2023-10-05,2023-10-05,1344,2,42,Autumn,Thursday
60,China Southern,KTM,JFK,2023-10-05,2023-10-06,960,2,30,Autumn,Thursday
61,China Southern,KTM,JFK,2023-10-05,2023-10-06,1216,3,38,Autumn,Thursday
62,Emirates,KTM,JFK,2023-10-05,2023-10-05,1204,2,43,Autumn,Thursday
63,Korean Air,KTM,JFK,2023-10-05,2023-10-06,1305,2,29,Autumn,Thursday
64,Qatar Airways,KTM,JFK,2023-10-05,2023-10-08,1408,1,44,Autumn,Thursday
65,Etihad,KTM,JFK,2023-10-05,2023-10-07,1404,3,27,Autumn,Thursday
66,Etihad,KTM,JFK,2023-10-05,2023-10-06,1144,3,22,Autumn,Thursday
67,Cathay Pacific,KTM,JFK,2023-10-05,2023-10-06,1428,2,21,Autumn,Thursday
68,Emirates,KTM,JFK,2023-10-05,2023-10-08,1148,3,41,Autumn,Thursday
69,Emirates,KTM,JFK,2023-10-05,2023-10-05,980,1,35,Autumn,Thursday
70,Qatar Airways,KTM,JFK,2023-10-05,2023-10-08,640,2,20,Autumn,Thursday
71,Qatar Airways,KTM,JFK,2023-10-05,2023-10-08,800,2,25,Autumn,Thursday
72,Turkish Airlines,KTM,JFK,2023-10-05,2023-10-05,1298,3,22,Autumn,Thursday
73,Korean Air,KTM,JFK,2023-10-05,2023-10-07,1845,2,41,Autumn,Thursday
74,Qatar Airways,KTM,JFK,2023-10-05,2023-10-07,704,1,22,Autumn,Thursday
75,China Southern,KTM,JFK,2023-10-05,2023-10-07,864,1,27,Autumn,Thursday
76,Qatar Airways,KTM,JFK,2023-10-06,2023-10-07,1428,2,42,Autumn,Friday
77,Etihad,KTM,JFK,2023-10-06,2023-10-08,1664,1,32,Autumn,Friday
78,Turkish Airlines,KTM,JFK,2023-10-06,2023-10-07,2537,1,43,Autumn,Friday
79,China Southern,KTM,JFK,2023-10-06,2023-10-09,2544,2,48,Autumn,Friday
80,Etihad,KTM,JFK,2023-10-06,2023-10-07,1716,1,33,Autumn,Friday
81,Turkish Airlines,KTM,JFK,2023-10-06,2023-10-09,1534,3,26,Autumn,Friday
82,Korean Air,KTM,JFK,2023-10-06,2023-10-08,1935,3,43,Autumn,Friday
83,Emirates,KTM,JFK,2023-10-06,2023-10-09,1020,1,34,Autumn,Friday
84,Etihad,KTM,JFK,2023-10-06,2023-10-06,2392,3,46,Autumn,Friday
85,China Southern,KTM,JFK,2023-10-06,2023-10-06,960,1,30,Autumn,Friday
86,Etihad,KTM,JFK,2023-10-06,2023-10-07,2444,1,47,Autumn,Friday
87,Turkish Airlines,KTM,JFK,2023-10-06,2023-10-06,1652,1,28,Autumn,Friday
88,Turkish Airlines,KTM,JFK,2023-10-06,2023-10-07,1298,1,22,Autumn,Friday
89,Korean Air,KTM,JFK,2023-10-06,2023-10-08,1215,3,27,Autumn,Friday
90,Qatar Airways,KTM,JFK,2023-10-06,2023-10-06,1360,1,40,Autumn,Friday
91,Emirates,KTM,JFK,2023-10-06,2023-10-06,810,1,27,Autumn,Friday
92,China Southern,KTM,JFK,2023-10-06,2023-10-09,1431,1,27,Autumn,Friday
93,Cathay Pacific,KTM,JFK,2023-10-06,2023-10-06,3400,2,50,Autumn,Friday
94,China Southern,KTM,JFK,2023-10-06,2023-10-06,640,1,20,Autumn,Friday
95,Qatar Airways,KTM,JFK,2023-10-06,2023-10-08,680,1,20,Autumn,Friday
96,Korean Air,KTM,JFK,2023-10-06,2023-10-06,2250,1,50,Autumn,Friday
97,Cathay Pacific,KTM,JFK,2023-10-06,2023-10-09,2788,2,41,Autumn,Friday
98,Korean Air,KTM,JFK,2023-10-06,2023-10-06,1575,1,35,Autumn,Friday
