,Airline,Departure,Destination,Departure_date,Arrival_date,Ticket_Price(Dollars),Stops,Travel_Time,Seasons,Day_of_the_week,is_weekend,Flight_Class
0,Qatar Airways,Kathmandu,Chicago,2023-10-01,2023-10-01,1178.0,2,31,Autumn,Sunday,True,First
1,Emirates,Kathmandu,Chicago,2023-10-01,2023-10-03,1218.0,2,42,Autumn,Sunday,True,First
2,Emirates,Kathmandu,Chicago,2023-10-01,2023-10-04,667.0,2,23,Autumn,Sunday,True,Business
3,Qatar Airways,Kathmandu,Chicago,2023-10-01,2023-10-01,1064.0,1,28,Autumn,Sunday,True,First
4,Air India,Kathmandu,Chicago,2023-10-01,2023-10-02,1476.0,2,41,Autumn,Sunday,True,First
5,Korean Air,Kathmandu,Chicago,2023-10-01,2023-10-01,1368.0,1,36,Autumn,Sunday,True,First
6,Emirates,Kathmandu,Chicago,2023-10-01,2023-10-02,638.0,1,22,Autumn,Sunday,True,Business
7,Emirates,Kathmandu,Chicago,2023-10-01,2023-10-02,841.0,2,29,Autumn,Sunday,True,Business
8,Air India,Kathmandu,Chicago,2023-10-01,2023-10-03,1368.0,1,38,Autumn,Sunday,True,First
9,Korean Air,Kathmandu,Chicago,2023-10-01,2023-10-03,1064.0,3,28,Autumn,Sunday,True,First
10,Qatar Airways,Kathmandu,Chicago,2023-10-01,2023-10-01,1672.0,2,44,Autumn,Sunday,True,First
11,Qatar Airways,Kathmandu,Chicago,2023-10-01,2023-10-04,1254.0,1,33,Autumn,Sunday,True,First
12,Air India,Kathmandu,Chicago,2023-10-01,2023-10-02,1044.0,3,29,Autumn,Sunday,True,First
13,Emirates,Kathmandu,Chicago,2023-10-01,2023-10-02,580.0,3,20,Autumn,Sunday,True,Business
14,Air India,Kathmandu,Chicago,2023-10-01,2023-10-02,1152.0,3,32,Autumn,Sunday,True,First
15,Korean Air,Kathmandu,Chicago,2023-10-01,2023-10-04,1064.0,2,28,Autumn,Sunday,True,First
16,Air India,Kathmandu,Chicago,2023-10-01,2023-10-02,720.0,3,20,Autumn,Sunday,True,Business
17,Korean Air,Kathmandu,Chicago,2023-10-01,2023-10-03,1634.0,1,43,Autumn,Sunday,True,First
18,Emirates,Kathmandu,Chicago,2023-10-01,2023-10-02,957.0,3,33,Autumn,Sunday,True,Business
19,Air India,Kathmandu,Chicago,2023-10-01,2023-10-01,1116.0,3,31,Autumn,Sunday,True,First
20,Qatar Airways,Kathmandu,Chicago,2023-10-01,2023-10-04,1368.0,1,36,Autumn,Sunday,True,First
21,Qatar Airways,Chicago,Kathmandu,2023-10-01,2023-10-01,1476.0,2,41,Autumn,Sunday,True,First
22,Qatar Airways,Chicago,Kathmandu,2023-10-01,2023-10-04,1080.0,2,30,Autumn,Sunday,True,First
23,Air India,Chicago,Kathmandu,2023-10-01,2023-10-02,2142.0,3,42,Autumn,Sunday,True,First
24,Qatar Airways,Chicago,Kathmandu,2023-10-01,2023-10-03,1440.0,2,40,Autumn,Sunday,True,First
25,Air India,Chicago,Kathmandu,2023-10-01,2023-10-03,1326.0,1,26,Autumn,Sunday,True,First
26,Emirates,Chicago,Kathmandu,2023-10-01,2023-10-04,1064.0,3,28,Autumn,Sunday,True,First
27,Emirates,Chicago,Kathmandu,2023-10-01,2023-10-04,950.0,3,25,Autumn,Sunday,True,Business
28,Qatar Airways,Chicago,Kathmandu,2023-10-01,2023-10-03,1332.0,2,37,Autumn,Sunday,True,First
29,United Airlines,Chicago,Kathmandu,2023-10-01,2023-10-03,992.0,2,32,Autumn,Sunday,True,Business
30,Emirates,Chicago,Kathmandu,2023-10-01,2023-10-04,760.0,1,20,Autumn,Sunday,True,Business
31,Air India,Chicago,Kathmandu,2023-10-01,2023-10-02,2091.0,2,41,Autumn,Sunday,True,First
32,American Airlines,Chicago,Kathmandu,2023-10-01,2023-10-04,620.0,2,20,Autumn,Sunday,True,Business
33,United Airlines,Chicago,Kathmandu,2023-10-01,2023-10-02,682.0,3,22,Autumn,Sunday,True,Business
34,United Airlines,Chicago,Kathmandu,2023-10-01,2023-10-04,899.0,2,29,Autumn,Sunday,True,Business
35,Qatar Airways,Chicago,Kathmandu,2023-10-01,2023-10-03,756.0,2,21,Autumn,Sunday,True,Business
36,Emirates,Chicago,Kathmandu,2023-10-01,2023-10-01,1634.0,1,43,Autumn,Sunday,True,First
37,Emirates,Chicago,Kathmandu,2023-10-01,2023-10-04,950.0,2,25,Autumn,Sunday,True,Business
38,Emirates,Chicago,Kathmandu,2023-10-01,2023-10-02,1406.0,1,37,Autumn,Sunday,True,First
39,American Airlines,Chicago,Kathmandu,2023-10-01,2023-10-03,651.0,3,21,Autumn,Sunday,True,Business
40,United Airlines,Chicago,Kathmandu,2023-10-01,2023-10-01,651.0,2,21,Autumn,Sunday,True,Business
41,Air India,Chicago,Kathmandu,2023-10-01,2023-10-03,1530.0,3,30,Autumn,Sunday,True,First
42,American Airlines,Chicago,Kathmandu,2023-10-01,2023-10-01,1209.0,1,39,Autumn,Sunday,True,First
43,United Airlines,Chicago,Kathmandu,2023-10-01,2023-10-04,1054.0,3,34,Autumn,Sunday,True,First
44,Delta,London,New York,2023-10-01,2023-10-01,2940.0,2,21,Autumn,Sunday,True,First
45,British Airways,London,New York,2023-10-01,2023-10-01,3750.0,1,25,Autumn,Sunday,True,First
46,British Airways,London,New York,2023-10-01,2023-10-02,4350.0,1,29,Autumn,Sunday,True,First
47,Delta,London,New York,2023-10-01,2023-10-02,4200.0,2,30,Autumn,Sunday,True,First
48,Virgin Atlantic,London,New York,2023-10-01,2023-10-02,4060.0,1,29,Autumn,Sunday,True,First
49,British Airways,London,New York,2023-10-01,2023-10-02,2700.0,2,18,Autumn,Sunday,True,First
50,Virgin Atlantic,London,New York,2023-10-01,2023-10-02,1960.0,2,14,Autumn,Sunday,True,First
51,Delta,London,New York,2023-10-01,2023-10-02,4480.0,2,32,Autumn,Sunday,True,First
52,American Airlines,London,New York,2023-10-01,2023-10-02,1350.0,1,10,Autumn,Sunday,True,First
53,Virgin Atlantic,London,New York,2023-10-01,2023-10-01,2660.0,1,19,Autumn,Sunday,True,First
54,British Airways,London,New York,2023-10-01,2023-10-02,1950.0,1,13,Autumn,Sunday,True,First
55,British Airways,London,New York,2023-10-01,2023-10-02,4500.0,2,30,Autumn,Sunday,True,First
56,Delta,London,New York,2023-10-01,2023-10-02,4060.0,1,29,Autumn,Sunday,True,First
57,American Airlines,London,New York,2023-10-01,2023-10-02,3915.0,0,29,Autumn,Sunday,True,First
58,Virgin Atlantic,London,New York,2023-10-01,2023-10-01,4060.0,0,29,Autumn,Sunday,True,First
59,Virgin Atlantic,London,New York,2023-10-01,2023-10-01,4620.0,0,33,Autumn,Sunday,True,First
60,American Airlines,London,New York,2023-10-01,2023-10-01,1350.0,1,10,Autumn,Sunday,True,First
61,British Airways,London,New York,2023-10-01,2023-10-01,3750.0,2,25,Autumn,Sunday,True,First
62,American Airlines,London,New York,2023-10-01,2023-10-01,2430.0,1,18,Autumn,Sunday,True,First
63,American Airlines,London,New York,2023-10-01,2023-10-01,2835.0,1,21,Autumn,Sunday,True,First
64,British Airways,London,New York,2023-10-01,2023-10-01,4800.0,1,32,Autumn,Sunday,True,First
65,British Airways,London,New York,2023-10-01,2023-10-02,2250.0,2,15,Autumn,Sunday,True,First
66,American Airlines,London,New York,2023-10-01,2023-10-01,2295.0,2,17,Autumn,Sunday,True,First
67,Delta,London,New York,2023-10-01,2023-10-02,4340.0,1,31,Autumn,Sunday,True,First
68,THAI,New Delhi,Sydney,2023-10-01,2023-10-01,2652.0,0,34,Autumn,Sunday,True,First
69,Air India,New Delhi,Sydney,2023-10-01,2023-10-01,2691.0,0,23,Autumn,Sunday,True,First
70,Air India,New Delhi,Sydney,2023-10-01,2023-10-01,3978.0,1,34,Autumn,Sunday,True,First
71,THAI,New Delhi,Sydney,2023-10-01,2023-10-01,2028.0,1,26,Autumn,Sunday,True,First
72,SriLankan Airlines,New Delhi,Sydney,2023-10-01,2023-10-02,1566.0,1,27,Autumn,Sunday,True,First
73,Air India,New Delhi,Sydney,2023-10-01,2023-10-02,2106.0,1,18,Autumn,Sunday,True,First
74,SriLankan Airlines,New Delhi,Sydney,2023-10-01,2023-10-01,754.0,1,13,Autumn,Sunday,True,Business
75,THAI,New Delhi,Sydney,2023-10-01,2023-10-01,2028.0,2,26,Autumn,Sunday,True,First
76,Cathay Pacific,New Delhi,Sydney,2023-10-01,2023-10-02,2132.0,2,13,Autumn,Sunday,True,First
77,SriLankan Airlines,New Delhi,Sydney,2023-10-01,2023-10-01,1392.0,2,24,Autumn,Sunday,True,First
